id;proper;con;mag;dist;spect;ci;lum;x;y;z
97627;Libertas;Aql;4.71;56.2746;K0III;1.023;36.04126286491436;26.612383;-48.887669;8.280414
88610;Ramus;Her;4.37;280.8989;B2IV;-0.164;1228.004617988788;10.031459;-262.374329;99.815819
22438;Mouhoun;Eri;7.91;118.0638;K0III;0.961;8.325302067492423;32.206232;102.609681;-48.714197
40054;Tegmine;Cnc;4.67;25.0815;G0V;0.531;7.426770437146974;-13.035978;20.033032;7.603791
112776;Skat;Aqr;3.27;49.2368;A3V;0.066;103.8484455008274;45.459019;-13.325406;-13.423467
13813;Acamar;Eri;2.88;49.4315;A4III+...;0.128;149.96848355023724;26.85749;26.453029;-31.974932
20405;Secunda Hyadum;Tau;3.77;47.7099;G8III;0.983;61.54602373713163;18.695965;41.472036;14.380508
85665;Shaula;Sco;1.62;175.1313;B1.5IV+...;-0.231;6008.9695048348585;-16.048583;-138.749793;-105.649898
21541;Sceptrum;Eri;3.86;33.6814;K1III;1.082;28.235793691102995;11.405856;30.579706;-8.321655
9861;Hamal;Ari;2.01;20.1776;K2III;1.151;55.6672798150948;15.731986;9.751722;8.03361
89064;Polis;Sgr;3.84;100000.0;B2III:;0.195;253512863.0497907;5600.996443;-93152.961403;-35932.639895
24378;Rigel;Ori;0.18;264.5503;B8Ia;-0.03;51665.42425669497;51.601106;256.709905;-37.740051
60986;Funi;Dra;8.75;66.0502;G0;0.645;1.2011576179375785;-17.489575;-2.467324;63.644764
80443;Timir;Oph;6.89;59.0319;K0III/IV;0.95;5.321082592667941;-22.329431;-52.905718;-13.680158
12673;Kaffaljidhma;Cet;3.47;24.4081;A3V;0.093;21.242224773886967;18.440324;15.931398;1.377729
68483;Hadar;Cen;0.61;120.1923;B1III;-0.231;7171.33482657721;-50.954051;-30.56287;-104.478695
23949;Mago;Cam;6.43;120.6273;K1III;1.101;33.946890538007864;9.153224;40.959237;113.090617
744;Caph;Cas;2.28;16.7842;F2III-IV;0.38;30.06076302628229;8.600014;0.344589;14.409503
30847;Ross 614;Mon;11.12;4.1268;M4.5Ve;1.69;0.0005286886658509;-0.527146;4.088126;-0.202607
15471;82 G. Eri;Eri;4.26;6.0434;G8V;0.711;0.6286370884130494;2.839238;3.381499;-4.127499
108922;Alnair;Gru;1.73;30.9693;B7IV;-0.07;169.82436524617444;18.672505;-9.904001;-22.635193
